Abayhan,آبایخان
Bintuğ,بینطوغ
Binyaşar,بین یاشار
Biran,بیران
Birant,بیرانت
Birgi,بیرگی
Birgit,بیرگیت
Birkan,بركان
Birkan,بیرقان
Birkök,بیركوك
Birmen,بیرمن
Birol,بیر اول
Birşen,بیر شن
Birsin,بیرسین
Birsoy,بیرصوی
Birtan,بیرطان
Birten,بیرتن
Bitek,بیتك
Bitim,بیتیم
Boğaçhan,بوغچخان
Boğaç,بوغچ
Boğahan,بوغاخان
Boğa,بوغا
Boğataş,بوغا طاش
Boğatay,بوغاتای
Boğatekin,بوغاتكین
Boğatimur,بوغاتیمور
Boğatır,بوغاطیر
Böget,بوگت
Böğrek,بوگرك
Böken,بوكن
Böke,بوكه
Bolat,بولاد
Bolcan,بولجان
Bolgan,بولغان
Bolhan,بولخان
Bolkan,بولقان
Bölükbaşı,بولوكباشی
Borahan,بوراخان
Borakan,بوراقان
Borakhan,بوراقخان
Borak,بوراق
Boranalp,بوران آلپ
Boranbay,بوران بای
Boran,بوران
Bora,بورا
Boransü,بورانسو
Borataş,بوراطاش
Boratav,بوراتاو
Boratay,بوراتای
Boray,بورای
Börçek,بورچك
Borkan,بورقان
Börk,بورك
Bor,بور
Börteçin,بورته چین
Börübars,بوروبارس
Börübay,بوروبای
Börübey,بوروبگ
Börühan,بوروخان
Börükan,بوروقان
Börü,بورو
Boyar,بویار
Boydak,بویداق
Boydaş,بویداش
Boyer,بویر
Boylan,بویلان
Boylu,بویلو
Boynak,بویناق
Boy,بوی
Boyraz,بویراز
Boysal,بویصال
Boysan,بویسان
Bozan,بوزان
Bozat,بوزات
Bozay,بوزای
Bozbağ,بوزباغ
Bozbala,بوزبلا
Bozbaş,بوزباش
Bozbay,بوزبای
Bozbey,بوزبگ
Bozbora,بوزبورا
Bozca,بوزجه
Bozdağ,بوزداغ
Bozdemir,بوزدمیر
Bozdeniz,بوزدڭز
Bozdoğan,بوزطوغان
Bozerk,بوزرك
Bozer,بوزر
Bozhan,بوزخان
Bozkan,بوزقان
Bozkara,بوزقره
Bozkaya,بوزقایه
Bozkır,بوزقیر
